	transcript	start	end	role	BC	folder	each_role	index
2119	음	364.77	366.748	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2657
2120	어차피 사람이니까	365.21	367.255	client	1	4	['ct', 'ct', 'cs', 'ct', 'ct']	2658
2121	음	365.41	368.329	counselor	0	4	['ct', 'cs', 'ct', 'ct', 'cs']	2659
2122	애초에 안 믿는 건	367.709	370.11	client	1	4	['cs', 'ct', 'ct', 'ct', 'ct']	2660
2123	믿지 않는 것 같아요	369.37	371.51	client	0	4	['cs', 'ct', 'ct', 'ct', 'ct']	2662
2124	그러셨구나	370.11	372.281	counselor	1	4	['ct', 'ct', 'ct', 'ct', 'cs']	2663
2125	네	370.43	373.445	client	0	4	['ct', 'ct', 'ct', 'cs', 'ct']	2664
2126	나는 기대를 많이 하지 않는다	381.729	384.169	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2665
2127	음	381.969	384.39	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2666
2128	그렇게 자기를 세뇌시키는	383.249	386.835	counselor	0	4	['cs', 'ct', 'cs', 'cs', 'cs']	2667
2129	맞아요 방어기제인	384.115	387.694	client	0	4	['cs', 'cs', 'cs', 'ct', 'ct']	2668
2130	그래서	384.595	387.555	counselor	0	4	['cs', 'cs', 'ct', 'ct', 'cs']	2669
2131	것 같아요 실제로	386.814	388.734	client	3	4	['ct', 'cs', 'ct', 'ct', 'ct']	2670
2132	그런 것 같지는 않은데	388.642	390.214	client	1	4	['cs', 'ct', 'ct', 'ct', 'ct']	2672
2133	눈물도 많이 나고 힘들어하거든요 실제로	398.034	401.394	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2674
2134	네	398.434	402.137	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2675
2135	안 하다가 아니라 너무 무서워서	402.929	405.449	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2676
2136	아	403.169	406.491	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2677
2137	스스로도 알고 있었던 것 같아요	410.293	413.013	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2678
2138	대해서 생각을 하신 거 같아요	417.012	418.792	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2679
2139	네	417.152	419.735	client	2	4	['cs', 'cs', 'cs', 'cs', 'ct']	2680
2140	내가 상처받지 않기 위해서 방어기재인	421.356	423.577	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2681
2141	네	421.876	423.627	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2682
2142	거 같다	422.796	424.577	counselor	1	4	['cs', 'cs', 'ct', 'cs', 'cs']	2683
2143	네	422.997	425.459	client	0	4	['cs', 'ct', 'cs', 'cs', 'ct']	2684
2144	그게 나를 보호하기 위한 부분이다	428.328	431.008	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2685
2145	눈물도 많이 흘리셨고 힘들어하셨다고 말씀하셨는데	445.338	448.818	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2687
2146	네	445.698	448.95	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2688
2147	좀 떠올려 보실 수 있을까요	450.461	452.781	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2689
2148	네	450.661	453.179	client	1	4	['cs', 'cs', 'cs', 'cs', 'ct']	2690
2149	원래 성격이 좀 예민한 편이어서	455.81	458.09	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2692
2150	섬세한 편이고	456.73	459.336	client	1	4	['ct', 'ct', 'cs', 'ct', 'ct']	2694
2151	네	457.17	460.142	counselor	0	4	['ct', 'cs', 'ct', 'ct', 'cs']	2695
2152	쓰고 생각도 되게 많이 하고	461.299	463.219	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2696
2153	상처를 받는 성격인 것 같아요	472.831	474.631	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2698
2154	반복되다 보니까 그런 게 아닐까	475.273	477.433	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2700
2155	음	476.073	478.309	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2701
2156	늘 그랬으니까 그게 쌓이고 쌓여서	477.717	480.717	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2702
2157	라고 생각하게 되는 것 같아요	483.03	484.95	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2704
2158	않고 친구들은 좀 그렇긴 해요	489.026	491.125	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2706
2159	네	489.585	491.755	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2707
2160	친구는 비슷한 사람들끼리 친구가 되니까	491.261	493.701	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2708
2161	그런 것 같다는 생각을 했었어요	501.691	503.571	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2710
2162	너무 예민해서 그런 거다라고 생각했었어요	505.366	508.566	client	2	4	['ct', 'ct', 'ct', 'ct', 'ct']	2712
2163	반응을 하는구나 라고 생각을 하셨군요	515.87	519.318	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2713
2164	좀 중요하게 떠올려지는 그런 사례를	534.299	537.62	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2715
2165	뭐가	534.499	538.054	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2716
2166	좀 구체적으로	536.4	538.617	counselor	0	4	['cs', 'cs', 'ct', 'cs', 'cs']	2717
2167	있었어요	536.82	538.894	client	0	4	['cs', 'ct', 'cs', 'cs', 'ct']	2718
2168	말씀을 해주시면	537.617	539.897	counselor	0	4	['cs', 'cs', 'ct', 'cs', 'cs']	2719
2169	어떤 걸 말해야 할까요	538.857	542.927	client	0	4	['cs', 'ct', 'ct', 'ct', 'ct']	2720
2170	음 그 어떤 상황에서	542.447	545.511	counselor	0	4	['ct', 'cs', 'cs', 'cs', 'cs']	2721
2171	상처	542.751	545.948	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2722
2172	친구하고의	543.031	547.54	counselor	0	4	['cs', 'cs', 'cs', 'ct', 'cs']	2723
2173	상처	543.751	547.728	client	0	4	['cs', 'cs', 'ct', 'cs', 'ct']	2724
2174	그 구체적인 상황을 말씀을 해주시면	547.74	550.154	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2725
2175	어	548.14	550.919	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2726
2176	그때	548.54	551.052	counselor	1	4	['cs', 'cs', 'cs', 'ct', 'cs']	2727
2177	속에서 우리 정연님이 느끼는 생각과	551.492	555.244	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2729
2178	음	552.264	556.053	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2730
2179	조금 더 탐색을 해보시면 좋을	556.209	558.949	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2731
2180	아	556.549	559.557	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2732
2181	것 같아요	557.509	559.709	counselor	0	4	['cs', 'cs', 'ct', 'cs', 'cs']	2733
2182	게 아마 상처였던 것 같아요	576.746	578.146	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2734
2183	그랬다기 보다는 너무 성격이 달라서	580.131	583.012	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2736
2184	많잖아요 진지하게 생각하고 심각하게 생각하고	585.827	588.826	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2738
2185	많거든요 엄마는 좀 단순한 편이시고	592.072	595.346	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2740
2186	네	592.626	595.918	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2741
2187	편이고 깊은 얘기 들어가면 싫어하세요	596.856	599.259	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2742
2188	하는 그런 경향이 있어요 본인은	602.375	604.578	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2744
2189	너무 사소한 걸로 깊게 하고	623.296	625.616	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2746
2190	수밖에 없다라는 식으로 말을 했어요	643.489	645.529	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2748
2191	거죠 어떻게 보면 약간 협박이죠	650.318	652.069	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2750
2192	식으로 말을 한 거 같아요	661.211	662.771	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2752
2193	약해서 또 미안해요 그렇게 말해놓고	665.742	667.742	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2754
2194	관계를 유지하려고 넘어가려고 했던 거고	690.285	693.165	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2756
2195	그걸 직면해야 되는 거 아니냐	696.956	698.876	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2758
2196	엄마는 직면을 싫어하시는 거 같아요	701.117	703.157	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2760
2197	음	701.277	703.744	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2761
2198	너무 다른 거죠 우리는 너무	709.884	711.924	client	0	4	['ct', 'ct', 'ct', 'ct', 'ct']	2762
2199	대한 그런 부분을 정리를 하셨네요	716.679	719.931	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2763
2200	많이 해서 그런 거 같아요	721.258	722.618	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2764
2201	혼자 생각을 너무 많이 해서	723.143	725.303	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2766
2202	불편한 서운한 마음이 좀 크셨네요	744.045	746.815	counselor	3	4	['cs', 'cs', 'cs', 'cs', 'cs']	2767
2203	네	745.175	747.735	counselor	0	4	['cs', 'cs', 'cs', 'ct', 'cs']	2769
2204	아니라고 하니까 계속	746.329	749.07	client	1	4	['ct', 'cs', 'ct', 'ct', 'ct']	2770
2205	괜찮다고 그냥	747.83	750.07	client	1	4	['ct', 'ct', 'cs', 'ct', 'ct']	2772
2206	음	748.15	751.748	counselor	0	4	['ct', 'cs', 'ct', 'ct', 'cs']	2773
2207	데서 힘든 얘기를 얘기하지는 않거든요	753.43	755.63	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2774
2208	네	753.47	755.865	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2775
2209	그건 엄마하고 상관이 없는 일이니까	755.495	757.595	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2776
2210	네	755.875	758.046	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2777
2211	그냥 엄마가 가족을 이끄는 사람이니까	760.927	763.907	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2778
2212	엄마의 역할을 하지 않는다고 느꼈어요	773.182	775.102	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2780
2213	네	773.542	775.89	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2781
2214	것도 그걸 좀 들어봤어야 되는데	778.162	781.602	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2782
2215	이걸 덮기만 하려고 하니까 문제를	782.462	784.902	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2784
2216	그런 느낌	783.822	785.942	client	0	4	['ct', 'ct', 'cs', 'ct', 'ct']	2786
2217	좀 서운하거나 불편하거나 그런게 있었을까요	792.484	796.209	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2787
2218	지금 돌아가셨기 때문에 없는 분이고	799.578	801.818	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2788
2219	자신의 마음대로 이끌어가는 면이 있었는데	808.117	810.517	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2790
2220	엄마는 그걸 분명히 알고 있었으면서도	810.893	813.093	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2792
2221	뭐라고 하고 왜 애들한테 그러냐	817.258	819.119	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2794
2222	음	817.538	820.141	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2795
2223	분명히 말을 하면 분쟁이 일어나니까	822.685	825.485	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2796
2224	그게 풀어주지 못하고 아빠가 돌아가셨어요	838.946	841.266	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2798
2225	거죠 그런 안금 같은 게	844.796	846.402	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2800
2226	그렇죠	845.142	847.59	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2801
2227	오빠는 선을 넘는 행동을 했었어요	848.495	851.295	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2802
2228	약간	850.375	853.399	client	3	4	['ct', 'ct', 'cs', 'cs', 'ct']	2804
2229	정연님한테 네	851.471	854.155	counselor	0	4	['cs', 'cs', 'ct', 'cs', 'cs']	2805
2230	그렇다고 막 욕을 하거나 엄마로서의	863.453	865.908	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2806
2231	행동을 제가 한 건 아니었는데	866.668	868.508	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2808
2232	오빠가 좀 폭력적인 행동을 했었어요	869.302	871.782	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2810
2233	저의	870.262	873.897	client	3	4	['ct', 'ct', 'ct', 'cs', 'ct']	2812
2234	우리 정연님한테 네	871.971	873.985	counselor	0	4	['cs', 'ct', 'cs', 'cs', 'cs']	2813
2235	머리채를 잡고 끌고 다니고	873.465	876.097	client	3	4	['cs', 'ct', 'ct', 'ct', 'ct']	2814
2236	때리는	874.297	876.537	client	3	4	['ct', 'ct', 'ct', 'cs', 'ct']	2816
2237	그러셨구나	875.017	877.622	counselor	0	4	['ct', 'ct', 'cs', 'ct', 'cs']	2817
2238	그런 게 좀 그랬었어요	876.262	877.777	client	3	4	['cs', 'ct', 'ct', 'ct', 'ct']	2818
2239	네	876.537	878.942	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2819
2240	상황에서 엄마가 오빠를 막으려고 했었어요	881.579	884.019	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2820
2241	네	882.059	884.583	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2821
2242	위해서 저를 제 뺨을 때렸어요	886.958	888.808	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2822
2243	나가겠다 해서 찜질방에 나가서 잤거든요	910.97	913.65	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2824
2244	네	911.69	914.152	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2825
2245	그때는 이제 멍도 좀 들었었고	914.781	917.361	client	0	4	['ct', 'ct', 'ct', 'ct', 'ct']	2826
2246	멍도 들었고	915.841	919.349	counselor	0	4	['ct', 'ct', 'ct', 'cs', 'cs']	2827
2247	이렇게 팔을 계속 끌고 갔기	919.445	920.885	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2828
2248	음	919.605	921.842	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2829
2249	다리나 이런 데도 멍이 들었고	922.682	924.682	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2830
2250	몸으로 할 수도 있고 그런	941.49	943.043	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2831
2251	네	941.85	943.81	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2832
2252	방어를 하셨는지	942.41	944.883	counselor	0	4	['cs', 'cs', 'ct', 'cs', 'cs']	2833
2253	힘의 차이를 느꼈던 것 같아요	946.498	948.258	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2834
2254	네	946.778	948.94	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2835
2255	마른 남자여도 저보다는 힘이 세니까	952.38	954.94	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2836
2256	그렇죠	952.7	955.638	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2837
2257	보통 그런 영향이 좀 있었고	955.502	957.582	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2838
2258	엄마의 행동이 이해가 가지 않았어요	959.992	962.312	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2840
2259	네	960.512	962.771	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2841
2260	저는 거기서 굽히지 않았거든요 그래서	968.499	970.522	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2842
2261	음	968.759	971.19	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2843
2262	맞춰주자고 저는 더 뭐라 했거든요	973.613	975.337	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2844
2263	네	974.077	975.935	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2845
2264	굳이 맞춰주면 안 된다고 생각했어요	982.147	984.987	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2846
2265	네	983.307	985.704	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2847
2266	왜 자꾸 더 자극시키냐 흥분시키냐	988.665	991.545	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2848
2267	음	988.865	991.63	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2849
2268	잡아야 좀 진정될 것 같으니까	992.073	994.873	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2850
2269	별로 받고 싶은 마음이 없고	1002.688	1004.488	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2852
2270	그 어 언제 일어났던 일이신가요	1010.576	1012.956	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2853
2271	언제였죠 잠시만요 제가 기억하기로는	1011.876	1016.576	client	0	4	['cs', 'ct', 'ct', 'ct', 'ct']	2854
2272	네	1013.616	1017.295	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2855
2273	재작년 재작년 한 2년 정도는	1027.374	1030.254	client	0	4	['ct', 'ct', 'ct', 'ct', 'ct']	2856
2274	얼마 안되셨군요	1028.854	1032.0	counselor	0	4	['ct', 'ct', 'ct', 'cs', 'cs']	2857
2275	것 같아요 네 2년 정도	1030.374	1032.927	client	2	4	['ct', 'ct', 'ct', 'ct', 'ct']	2858
2276	네 그러면	1031.227	1034.468	counselor	0	4	['ct', 'ct', 'ct', 'cs', 'cs']	2859
2277	2년 정도는 그랬던 것 같아요	1033.559	1035.439	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2860
2278	정도의 인사를 하고 대화는 해요	1053.128	1055.488	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2862
2279	네	1053.928	1055.922	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2863
2280	그러니까 엄마를 위해서	1054.888	1057.476	client	1	4	['ct', 'cs', 'ct', 'ct', 'ct']	2864
2281	네	1055.442	1058.545	counselor	0	4	['cs', 'ct', 'ct', 'ct', 'cs']	2865
2282	깊게 마음을 주고 싶지는 않지만	1068.592	1070.432	client	2	4	['ct', 'ct', 'ct', 'ct', 'ct']	2866
2283	음	1068.712	1070.94	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2867
2284	어느 정도 그냥 하는 거죠	1071.242	1073.442	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2868
2285	오빠와의 관계가 멀어지면 힘들어 할까봐	1077.246	1081.444	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2869
2286	어 진짜 힘들어하세요	1080.004	1082.546	client	1	4	['cs', 'cs', 'ct', 'ct', 'ct']	2870
2287	때도 되게 막 그때 엄마한테	1083.226	1085.663	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2872
2288	잘 지내면 되지 이렇게 얘기를	1092.291	1094.472	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2874
2289	네	1092.491	1094.908	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2875
2290	엄마가 아니야 엄마가 실패한 인생이라고	1103.94	1106.094	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2876
2291	네	1104.18	1107.067	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2877
2292	이제는 같이 다 안 사는데	1120.969	1122.649	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2878
2293	계기로 제가 집을 나서 나왔거든요	1123.578	1125.658	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2880
2294	네	1123.978	1126.203	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2881
2295	수중에 나오시는 돈이 있었기 때문에	1132.771	1134.931	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2882
2296	네	1133.091	1135.321	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2883
2297	방법이지만 말렸지만 저는 그냥 나왔거든요	1137.094	1139.519	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2884
2298	고시원으로 갔거든요	1138.359	1141.112	client	1	4	['ct', 'ct', 'cs', 'ct', 'ct']	2886
2299	번도 집에서 같이 살지 않았어요	1149.552	1151.672	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2888
2300	네	1150.192	1152.626	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2889
2301	따로 살았어요	1150.712	1153.175	client	1	4	['ct', 'ct', 'cs', 'ct', 'ct']	2890
2302	음	1151.192	1153.466	counselor	0	4	['ct', 'cs', 'ct', 'ct', 'cs']	2891
2303	그래야지 관계를 유지할 수 있으니까	1153.879	1156.079	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2892
2304	음	1154.359	1156.77	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2893
2305	행동인 거 같아요 거기서 굳이	1164.976	1167.262	client	2	4	['ct', 'ct', 'ct', 'ct', 'ct']	2894
2306	음	1165.216	1167.445	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2895
2307	그렇게까지 하고 싶지는 않아서 딱히	1170.993	1173.673	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2896
2308	이제 집을 나오셔서 독립을 하셨고	1179.61	1182.564	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2897
2309	독립한거는 잘 했다라고 생각을 하시고	1183.868	1186.623	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2899
2310	네 네	1184.983	1189.793	client	0	4	['cs', 'cs', 'cs', 'ct', 'ct']	2900
2311	관계 유지를 하는 것이 현명하다	1190.666	1193.046	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2901
2312	네	1191.166	1193.565	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2902
2313	이렇게 생각을 하시는데	1191.966	1194.237	counselor	1	4	['cs', 'ct', 'cs', 'cs', 'cs']	2903
2314	네	1192.845	1194.873	client	0	4	['ct', 'cs', 'cs', 'cs', 'ct']	2904
2315	어떻게 해주셨으면 하는 기대가 있었을까요	1204.475	1208.877	counselor	0	4	['cs', 'cs', 'cs', 'cs', 'cs']	2905
2316	엄마는 어쨌든 둘 다 자녀인데	1209.251	1211.331	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2906
2317	네	1209.731	1212.094	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2907
2318	좀 더 힘적으로 우세한 상황이고	1211.924	1214.004	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2908
2319	하고 분리를 해야 한다고 생각하거든요	1217.984	1219.984	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2910
2320	네	1218.224	1220.611	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2911
2321	전 경찰을 불러야 한다고 생각했었어요	1225.25	1227.29	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2912
2322	네	1225.57	1227.824	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2913
2323	엄마한테도 그렇게 얘기를 했었고	1227.144	1229.29	client	1	4	['cs', 'ct', 'ct', 'ct', 'ct']	2914
2324	그냥 회피했다고 밖에 보이지 않거든요	1235.6	1237.68	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2916
2325	네	1235.88	1238.549	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2917
2326	희생시키고 그냥 넘어가고 싶었던 거	1238.795	1242.195	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2918
2327	음	1239.955	1243.279	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2919
2328	불러도 큰 일이 일어나진 않지만	1249.145	1251.185	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2920
2329	네	1249.545	1251.781	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2921
2330	한 번 보여줘야 한다고 생각하거든요	1256.453	1258.653	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2922
2331	음	1256.613	1259.749	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2923
2332	안 해요 이제 그 이후부터는	1272.877	1274.726	client	3	4	['ct', 'ct', 'ct', 'ct', 'ct']	2924
2333	음 힘이 훨씬 더 강하시고	1283.951	1286.296	counselor	1	4	['cs', 'cs', 'cs', 'cs', 'cs']	2925
2334	네	1284.251	1286.934	client	0	4	['cs', 'cs', 'cs', 'cs', 'ct']	2926
2335	또	1285.136	1287.916	counselor	0	4	['cs', 'cs', 'cs', 'ct', 'cs']	2927
2336	좀	1285.256	1288.08	client	0	4	['cs', 'cs', 'ct', 'cs', 'ct']	2928
2337	나	1285.456	1288.436	counselor	0	4	['cs', 'ct', 'cs', 'ct', 'cs']	2929
2338	그때 그냥 바로 독립을 했던	1289.2	1290.6	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2930
2339	없었으면 나오지 못했을 거라고 생각해서	1296.395	1298.595	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2932
2340	네	1296.715	1299.227	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2933
2341	만큼은 책임을 져야 한다고 생각해요	1303.052	1304.812	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2934
2342	그래서 어떻게든 어디라도 다니려고 하고	1306.307	1309.227	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2936
2343	않았고 돈을 벌고 있지 않았거든요	1313.125	1314.845	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2938
2344	네	1313.245	1315.422	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2939
2345	자신의 권인을 하고 싶어하는 모습	1320.875	1322.955	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2940
2346	음	1321.435	1324.079	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2941
2347	생각하는데 저는 가장이라고 생각하지 않거든요	1325.813	1327.98	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2942
2348	없죠 저는 가장이라고 생각하지 않아요	1335.813	1337.949	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2944
2349	혼자의 가정을 꾸리겠다고 나온 거죠	1338.744	1340.504	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2946
2350	음	1339.104	1342.313	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2947
2351	다 말하고 살 필요는 없고	1350.802	1352.442	client	1	4	['ct', 'ct', 'ct', 'ct', 'ct']	2948
2352	음	1350.922	1353.572	counselor	0	4	['ct', 'ct', 'ct', 'ct', 'cs']	2949
